Loc;Dev;DevSoc;DevHum;DevInfra;IntFu;N_acords
PRK;1;0,5;0,0;0,0;0,0;0,5
PRK;2;1,1666666666666665;0,0;1,0;0,0;1,1666666666666665
PRK;3;1,5;0,0;0,5;0,5;1,5
PRT;0;0,0;0,0;0,0;0,5;0,5
RUS;0;0,0;0,0;0,0;0,0;27,06666666666666
RUS;1;13,0;1,5;1,0;2,5;15,0
RUS;2;1,1666666666666667;0,5;2,0;1,5;2,1666666666666665
RWA;0;0,0;0,0;0,0;0,0;5,111111111111111
RWA;1;5,333333333333332;0,0;0,0;1,3333333333333335;5,333333333333332
SAU;0;0,0;0,0;0,0;0,0;0,5
SAU;1;0,5;0,0;0,0;0,0;0,5
SDN;0;0,0;0,0;0,0;2,5;23,944444444444443
SDN;1;15,333333333333332;10,0;8,5;8,333333333333332;26,333333333333332
SDN;2;4,5;5,0;3,5;2,0;7,0
SDN;3;12,5;7,0;9,5;10,5;15,0
SEN;0;0,0;0,0;0,0;0,0;1,0
SEN;1;1,0;0,0;0,0;0,0;1,0
SLB;1;3,0;0,0;0,0;0,0;3,0
SLE;0;0,0;0,0;0,0;0,0;4,0
SLE;1;5,0;0,0;0,0;4,0;5,0
SLV;0;0,0;0,0;0,0;3,0;9,0
SLV;1;2,0;0,0;1,0;1,0;2,0
SLV;2;2,0;0,0;0,0;0,0;2,0
SLV;3;1,2;0,0;0,0;0,2;1,2
SOM;0;0,0;0,0;0,0;6,0;33,83333333333333
SOM;1;21,0;0,0;0,0;13,0;21,0
SRB;0;0,0;0,0;0,0;0,0;10,5
SRB;1;2,5;0,0;0,0;1,5;2,5
SRB;2;0,0;0,0;0,5;0,0;0,5
SRB;3;1,0;1,0;1,5;1,0;1,5
SSD;0;0,0;0,0;0,0;3,5;21,0
SSD;1;14,0;9,5;5,5;3,0;22,5
SSD;2;6,5;6,0;6,5;4,0;12,0
SSD;3;6,5;3,0;5,5;3,5;7,0
SVN;0;0,0;0,0;0,0;0,0;2,0
SYR;0;0,0;0,0;0,0;1,0;66,33333333333333
SYR;1;2,5;11,5;3,0;0,0;15,0
SYR;2;0,0;2,0;1,0;0,0;2,0
TCD;0;0,0;0,0;0,0;1,0;5,833333333333333
TCD;1;4,0;0,0;0,0;2,0;4,0
TGO;0;0,0;0,0;0,0;1,0;1,0
TGO;1;2,0;0,0;0,0;1,0;2,0
THA;0;0,0;0,0;0,0;0,0;1,0
TJK;0;0,0;0,0;0,0;2,0;19,2
TJK;1;0,0;1,0;0,0;0,0;1,0
TJK;2;0,0;1,0;1,0;0,0;1,0
TUN;0;0,0;0,0;0,0;1,0;1,0
TUR;0;0,0;0,0;0,0;0,0;0,3333333333333333
TZA;0;0,0;0,0;0,0;0,0;0,1111111111111111
